SchoolName,Address,ZipCode,LATITUDE,LONGITUDE,COUNTA of Level,Matched Score,Matched School,PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_STATE_CODE,PSS_ZIP5,PSS_PHONE,DAYS PER SCHOOL YEAR,DAY HOURS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_T,PSS_RACE_ AMERICAN_INDIAN,PSS_RACE_ASIAN/PACIFIC,PSS_RACE_HISPANIC,PSS_RACE_BLACK,PSS_RACE_WHITE,PSS_RACE_PACIFIC,PSS_RACE_MULTICULTURAL,PSS_FULLTIME_TEACH,PSS_COEDUCATION,PSS_LEVEL,PSS_RELIG,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_PACISL_PCT,PSS_TWOMORE_PCT,PSS_STUDENT_TEACHER_RATIO,PSS_ORIENT,PSS_COUNTY_NAME,Matched Address,Matched School Name
BAIS YAAKOV,1214 HEYSON RD,11691.0,40.59622223,-73.74644344,2,95,LEV BAIS YAAKOV,A0107653,LEV BAIS YAAKOV,3,17,3574 NOSTRAND AVE,BROOKLYN,36047,47,NY,36,11229,7183326000,,7.5,Yes,,,59.0,530.0,0.0,0.0,0.0,0.0,530.0,0.0,0.0,61.6,2,3,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,8.6,18,KINGS,,
BAIS YAAKOV OF 18TH AVE,4419 18 AVE,11204.0,40.63060202,-73.97743633,4,100,BAIS YAAKOV OF 18TH AVE,AA000069,BAIS YAAKOV OF 18TH AVE,2,13,4419 18TH AVE,BROOKLYN,36047,47,NY,36,11204,7186336050,175.0,9.5,Yes,,31.0,30.0,300.0,0.0,0.0,0.0,0.0,269.0,0.0,0.0,19.8,2,1,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,13.58,18,KINGS,,
BASIS INDEPENDENT MANHATTAN,795 COLUMBUS AVE,10025.0,40.79455253,-73.96627126,2,100,BASIS INDEPENDENT MANHATTAN,A1790364,BASIS INDEPENDENT MANHATTAN,2,10,795 COLUMBUS AVE,NEW YORK,36061,61,NY,36,10025,3473054960,183.0,7.66,Yes,,6.0,16.0,140.0,0.0,49.0,10.0,5.0,64.0,0.0,6.0,30.0,1,1,3,0.0,36.56,7.46,3.73,47.76,0.0,4.47,4.46,30,NEW YORK,,
BATTALION CHRISTIAN ACADEMY,661 LINDEN BLVD,11203.0,40.65359201,-73.93402986,3,100,BATTALION CHRISTIAN ACADEMY,A9303708,BATTALION CHRISTIAN ACADEMY,3,10,661 LINDEN BLVD,BROOKLYN,36047,47,NY,36,11203,7187745447,180.0,5.5,Yes,,,9.0,57.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,6.0,1,1,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,9.5,8,KINGS,,
BET YAAKOV ATERET TORAH,2166 CONEY ISLAND AVE,11223.0,40.60419299,-73.96165374,4,100,BET YAAKOV ATERET TORAH,A9903137,BET YAAKOV ATERET TORAH,2,13,901 QUENTIN RD,BROOKLYN,36047,47,NY,36,11223,7183752556,180.0,6.5,Yes,,168.0,72.0,844.0,0.0,0.0,0.0,0.0,676.0,0.0,0.0,113.3,2,1,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,5.96,18,KINGS,,
BETH CHANA SCHOOL,712 BEDFORD AVE,11206.0,40.69953956,-73.95714474,4,100,BETH CHANA SCHOOL,A1502445,BETH CHANA SCHOOL,2,17,712 BEDFORD AVE,BROOKLYN,36047,47,NY,36,11206,7189351845,,8.83,Yes,,19.0,42.0,370.0,0.0,0.0,0.0,0.0,351.0,0.0,0.0,23.0,2,3,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,15.26,18,KINGS,,
BETH CHANA SCHOOL FOR GIRLS,620 BEDFORD AVE,11249.0,40.70271065,-73.95955552,4,90,BETH CHANA SCHOOL,A1502445,BETH CHANA SCHOOL,2,17,712 BEDFORD AVE,BROOKLYN,36047,47,NY,36,11206,7189351845,,8.83,Yes,,19.0,42.0,370.0,0.0,0.0,0.0,0.0,351.0,0.0,0.0,23.0,2,3,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,15.26,18,KINGS,,
BNOS BAIS YAAKOV OF FAR ROCKAWAY,613 BEACH    9 ST,11691.0,40.60138814,-73.7453002,1,95,BNOS BAIS YAAKOV-FAR ROCKAWAY,BB170241,BNOS BAIS YAAKOV-FAR ROCKAWAY,2,17,613 BEACH 9TH ST,FAR ROCKAWAY,36081,81,NY,36,11691,7183376000,180.0,8.5,Yes,,162.0,115.0,1391.0,0.0,0.0,0.0,0.0,1229.0,0.0,0.0,120.0,2,3,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,10.24,18,QUEENS,,
BNOS LEAH HIGH SCHOOL,1601 AVE R,11229.0,40.60592042,-73.95665046,6,90,PROSPECT PARK BNOS LEAH HIGH SCHOOL,AA890630,PROSPECT PARK BNOS LEAH HIGH SCHOOL,14,17,1784 E 17TH ST,BROOKLYN,36047,47,NY,36,11229,7183763337,180.0,8.58,Yes,,,,173.0,0.0,0.0,0.0,0.0,173.0,0.0,0.0,46.0,2,2,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,3.76,18,KINGS,,
BNOS MALKA ACADEMY,7102 113 ST,11375.0,40.72314278,-73.83821548,5,100,BNOS MALKA ACADEMY,A9903146,BNOS MALKA ACADEMY,2,13,7102 113TH ST,FOREST HILLS,36081,81,NY,36,11375,7182682667,176.0,8.0,No,,36.0,46.0,412.0,0.0,0.0,0.0,0.0,376.0,0.0,0.0,30.1,2,1,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,12.49,18,QUEENS,,
BRITISH INTERNATIONAL SCHOOL,20 WATERSIDE PLZ,10010.0,40.73725228,-73.97415965,0,95,BRITISH INTERNATIONAL SCHOOL OF NY,A0902269,BRITISH INTERNATIONAL SCHOOL OF NY,2,17,20 WATERSIDE PLZ LBBY 1,NEW YORK,36061,61,NY,36,10010,2124812700,170.0,7.0,Yes,,16.0,17.0,262.0,2.0,37.0,11.0,10.0,148.0,4.0,34.0,48.8,1,3,3,0.81,15.04,4.47,4.06,60.16,1.62,13.82,5.04,30,NEW YORK,,
BROOKLYN FRIENDS SCHOOL,116 LAWRENCE ST,11201.0,40.69314319,-73.98623196,2,100,BROOKLYN FRIENDS SCHOOL,00935205,BROOKLYN FRIENDS SCHOOL,2,17,375 PEARL ST,BROOKLYN,36047,47,NY,36,11201,7188521029,171.0,7.0,Yes,,79.0,41.0,657.0,0.0,31.0,18.0,58.0,380.0,0.0,91.0,130.6,1,3,2,0.0,5.36,3.11,10.03,65.74,0.0,15.74,4.42,15,KINGS,,
BROOKLYN FRIENDS SCHOOL,375 PEARL ST,11201.0,40.69286069,-73.98815406,2,100,BROOKLYN FRIENDS SCHOOL,00935205,BROOKLYN FRIENDS SCHOOL,2,17,375 PEARL ST,BROOKLYN,36047,47,NY,36,11201,7188521029,171.0,7.0,Yes,,79.0,41.0,657.0,0.0,31.0,18.0,58.0,380.0,0.0,91.0,130.6,1,3,2,0.0,5.36,3.11,10.03,65.74,0.0,15.74,4.42,15,KINGS,,
BROOKLYN INDEPENDENT,38 LAFAYETTE AVE,11217.0,40.68691113,-73.97728379,3,100,BROOKLYN INDEPENDENT,A2102545,BROOKLYN INDEPENDENT,11,13,38 LAFAYETTE AVE AVE-3TH FL,BROOKLYN,36047,47,NY,36,11217,6469301246,180.0,8.0,Yes,,,,84.0,0.0,8.0,20.0,32.0,24.0,0.0,0.0,5.0,1,1,3,0.0,9.52,23.8,38.09,28.57,0.0,0.0,16.8,30,KINGS,,
CAMBRIA CENTER FOR THE GIFTED CHILD,23310 LINDEN BLVD,11411.0,40.69102838,-73.72889899,1,100,CAMBRIA CENTER FOR THE GIFTED CHILD,A9104737,CAMBRIA CENTER FOR THE GIFTED CHILD,2,13,23310 LINDEN BLVD,CAMBRIA HEIGHTS,36081,81,NY,36,11411,5162361259,180.0,6.5,No,,119.0,49.0,346.0,0.0,0.0,4.0,219.0,1.0,0.0,3.0,16.3,1,1,3,0.0,0.0,1.76,96.47,0.44,0.0,1.32,13.92,30,QUEENS,,
Cardinal Hayes,650 GRAND CONCOURSE,10451.0,40.82085854,-73.92606286,2,90,CARDINAL HAYES HIGH SCHOOL,00922273,CARDINAL HAYES HIGH SCHOOL,14,17,650 GRAND CONCOURSE,BRONX,36005,5,NY,36,10451,7182926100,180.0,6.5,Yes,,,,748.0,3.0,7.0,398.0,324.0,8.0,0.0,8.0,44.0,3,2,1,0.4,0.93,53.2,43.31,1.06,0.0,1.06,17.0,1,BRONX,,
CATHEDRAL SCHOOL,1047 AMSTERDAM AVE,10025.0,40.80394409,-73.96313478,2,95,CATHEDRAL HIGH SCHOOL,A1903005,CATHEDRAL HIGH SCHOOL,14,17,350 E 56TH ST,NEW YORK,36061,61,NY,36,10022,2126881545,180.0,6.16,Yes,,,,489.0,3.0,28.0,304.0,102.0,16.0,0.0,36.0,30.5,2,2,1,0.61,5.72,62.16,20.85,3.27,0.0,7.36,16.03,1,NEW YORK,,
CHRIST THE KING HIGH SCHOOL,6802 METROPOLITAN AVE,11379.0,40.71227867,-73.88866603,5,100,CHRIST THE KING HIGH SCHOOL,00925423,CHRIST THE KING HIGH SCHOOL,14,17,6802 METROPOLITAN AVE,MIDDLE VILLAGE,36081,81,NY,36,11379,7183667400,181.0,6.5,Yes,,,,665.0,2.0,15.0,206.0,146.0,280.0,3.0,13.0,37.6,1,2,1,0.3,2.25,30.97,21.95,42.1,0.45,1.95,17.68,1,QUEENS,,
CHRIST THE KING SCHOOL,1345 GRAND CONCOURSE,10452.0,40.83740159,-73.91488818,2,100,CHRIST THE KING SCHOOL,00921429,CHRIST THE KING SCHOOL,2,13,1345 GRAND CONCOURSE,BRONX,36005,5,NY,36,10452,7185385959,175.0,7.0,No,,105.0,20.0,272.0,2.0,1.0,142.0,22.0,0.0,0.0,0.0,16.0,1,1,1,1.19,0.59,85.02,13.17,0.0,0.0,0.0,10.43,1,BRONX,,
CHURCHILL SCHOOL & CENTER,301 E   29 ST,10016.0,40.74157883,-73.97801208,1,95,THE CHURCHILL SCHOOL & CENTER,00938374,THE CHURCHILL SCHOOL & CENTER,3,17,301 E 29TH ST,NEW YORK,36061,61,NY,36,10016,2127220610,180.0,6.75,Yes,,,5.0,398.0,0.0,10.0,42.0,35.0,254.0,2.0,55.0,132.0,1,3,3,0.0,2.51,10.55,8.79,63.81,0.5,13.81,3.01,30,NEW YORK,,
COLUMBIA GRAMMAR & PREP SCHOOL,5 W   93 ST,10025.0,40.78994967,-73.9665914,2,90,COLUMBIA GRAMMAR & PREPARATORY SCHOOL,00939979,COLUMBIA GRAMMAR & PREPARATORY SCHOOL,2,17,5 W 93RD ST,NEW YORK,36061,61,NY,36,10025,2127496200,162.0,7.0,Yes,,24.0,64.0,1162.0,0.0,137.0,43.0,59.0,783.0,0.0,116.0,196.3,1,3,3,0.0,12.03,3.77,5.18,68.8,0.0,10.19,5.79,30,NEW YORK,,
CONGREGATION BNOS CHAYA,4502 14 AVE,11219.0,40.63584337,-73.98768862,3,100,CONGREGATION BNOS CHAYA,A1502475,CONGREGATION BNOS CHAYA,2,12,4511 14TH AVE,BROOKLYN,36047,47,NY,36,11219,7188511212,180.0,7.0,No,,120.0,34.0,323.0,0.0,0.0,0.0,0.0,203.0,0.0,0.0,9.8,2,1,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,20.71,18,KINGS,,
CONGREGATION BNOS CHAYA,4511 14 AVE,11219.0,40.6358022,-73.98770304,2,100,CONGREGATION BNOS CHAYA,A1502475,CONGREGATION BNOS CHAYA,2,12,4511 14TH AVE,BROOKLYN,36047,47,NY,36,11219,7188511212,180.0,7.0,No,,120.0,34.0,323.0,0.0,0.0,0.0,0.0,203.0,0.0,0.0,9.8,2,1,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,20.71,18,KINGS,,
CONGREGATION MACHNA SHALVA - YESHIVA VYELIPOL,860 E   27 ST,11210.0,40.62936105,-73.95028735,4,90,YESHIVA VYELIPOL,BB963538,YESHIVA VYELIPOL,14,17,860 E 27TH ST,BROOKLYN,36047,47,NY,36,11210,7189511800,180.0,9.0,Yes,,,,92.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,14.9,3,2,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,6.17,18,KINGS,,
CORLEARS SCHOOL,324 W   15 ST,10011.0,40.74080962,-74.00292303,2,100,CORLEARS SCHOOL,00940022,CORLEARS SCHOOL,2,9,324 W 15TH ST,NEW YORK,36061,61,NY,36,10011,2127412800,152.0,7.0,Yes,,12.0,44.0,91.0,0.0,2.0,19.0,10.0,48.0,0.0,0.0,24.3,1,1,3,0.0,2.53,24.05,12.65,60.75,0.0,0.0,3.25,30,NEW YORK,,
CRISTO REY NEW YORK HIGH SCHOOL,120 E  106 ST,10029.0,40.79250587,-73.94693277,4,100,CRISTO REY NEW YORK HIGH SCHOOL,A0701603,CRISTO REY NEW YORK HIGH SCHOOL,14,17,112 E 106TH ST FRNT,NEW YORK,36061,61,NY,36,10029,2129967000,180.0,7.25,Yes,,,,386.0,0.0,7.0,304.0,62.0,0.0,0.0,13.0,23.0,1,2,1,0.0,1.81,78.75,16.06,0.0,0.0,3.36,16.78,1,NEW YORK,,
DARCHAI MENACHEM INC,432 RUTLAND ROAD,11203.0,40.65963973,-73.94641894,2,100,DARCHAI MENACHEM INC,A0502451,DARCHAI MENACHEM INC,3,16,432 RUTLAND RD,BROOKLYN,36047,47,NY,36,11203,7189532919,213.0,10.0,Yes,,,12.0,153.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,16.5,3,3,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,9.27,18,KINGS,,
DE LA SALLE ACADEMY,332 W   43 ST,10036.0,40.75834553,-73.99037673,5,100,DE LA SALLE ACADEMY,A9104782,DE LA SALLE ACADEMY,11,13,332 W 43RD ST,NEW YORK,36061,61,NY,36,10036,2123165840,172.0,6.25,Yes,,,,157.0,0.0,72.0,42.0,34.0,4.0,0.0,5.0,19.0,1,1,3,0.0,45.85,26.75,21.65,2.54,0.0,3.18,8.26,30,NEW YORK,,
DIMITRIOS & GEORGIA KALIODIS PAROCHIAL SCHOOL,8502 RIDGE BLVD,11209.0,40.62481884,-74.03345891,2,98,DIMITRIOS & GEORGIA KALOIDIS PAROCHIAL SCHOOL,A9104857,DIMITRIOS & GEORGIA KALOIDIS PAROCHIAL SCHOOL,2,13,8502 RIDGE BLVD,BROOKLYN,36047,47,NY,36,11209,7188368096,180.0,6.75,Yes,,58.0,18.0,165.0,0.0,9.0,15.0,4.0,79.0,0.0,0.0,18.0,1,1,2,0.0,8.41,14.01,3.73,73.83,0.0,0.0,5.94,16,KINGS,,
DIVINE MERCY CATHOLIC ACADEMY,10160 92 ST,11416.0,40.68316254,-73.84836873,2,100,DIVINE MERCY CATHOLIC ACADEMY,00925467,DIVINE MERCY CATHOLIC ACADEMY,2,13,10160 92ND ST,OZONE PARK,36081,81,NY,36,11416,7188453074,180.0,7.0,No,,66.0,24.0,260.0,0.0,64.0,97.0,10.0,21.0,0.0,2.0,12.0,1,1,1,0.0,32.98,50.0,5.15,10.82,0.0,1.03,16.16,1,QUEENS,,
EAST HARLEM SCHOOL AT EXODUS HOUSE,309 E  103 ST,10029.0,40.78843364,-73.94325253,0,100,EAST HARLEM SCHOOL AT EXODUS HOUSE,A9702381,EAST HARLEM SCHOOL AT EXODUS HOUSE,9,13,309 E 103RD ST,NEW YORK,36061,61,NY,36,10029,2128768775,189.0,9.0,Yes,,,,122.0,0.0,1.0,102.0,19.0,0.0,0.0,0.0,13.0,1,1,3,0.0,0.81,83.6,15.57,0.0,0.0,0.0,9.38,30,NEW YORK,,
EISEK HATORAH,8101 AVE K,11236.0,40.63279117,-73.90874794,6,90,EISEK HATORAH D'RACHMISTRIVKA,A1502486,EISEK HATORAH D'RACHMISTRIVKA,14,16,5309 NEW UTRECHT AVE,BROOKLYN,36047,47,NY,36,11219,7184385040,190.0,10.0,No,,,,125.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,9.9,3,2,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,12.62,18,KINGS,,
ELISABETH IRWIN HIGH SCHOOL FS (LREI),40 CHARLTON ST,10014.0,40.72706927,-74.00479855,0,95,ELISABETH IRWIN HIGH SCHOOL,A1990553,ELISABETH IRWIN HIGH SCHOOL,14,17,40 CHARLTON ST,NEW YORK,36061,61,NY,36,10014,2124775316,180.0,6.0,Yes,,,,261.0,0.0,17.0,13.0,18.0,159.0,0.0,54.0,42.4,1,2,3,0.0,6.51,4.98,6.89,60.91,0.0,20.68,6.15,30,NEW YORK,,
EPIPHANY LUTHERAN SCHOOL,716 LINCOLN PLACE,11216.0,40.67084385,-73.95248773,2,95,EPIPHANY LUTHERAN ELEMENTARY SCHOOL,BB201214,EPIPHANY LUTHERAN ELEMENTARY SCHOOL,2,13,721 LINCOLN PL,BROOKLYN,36047,47,NY,36,11216,7187737200,180.0,7.0,No,,12.0,,96.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,10.9,1,1,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,7.7,29,KINGS,,
FLATBUSH S.D.A. SCHOOL,5810 SNYDER AVE,11203.0,40.65058462,-73.92231336,2,93,FLATBUSH SDA SCHOOL,00943613,FLATBUSH SDA SCHOOL,2,10,5810 SNYDER AVE,BROOKLYN,36047,47,NY,36,11203,7189226390,182.0,7.5,No,,4.0,2.0,44.0,0.0,0.0,0.0,38.0,2.0,0.0,0.0,6.6,1,1,2,0.0,0.0,0.0,95.0,5.0,0.0,0.0,6.06,28,KINGS,,
FLIK @ COLLEGIATE SCHOOL,301 FREEDOM PLACE SOUTH,10069.0,40.77333466,-73.99052619,0,95,COLLEGIATE SCHOOL,00939684,COLLEGIATE SCHOOL,3,17,301 FREEDOM PL S,NEW YORK,36061,61,NY,36,10069,2128128521,172.0,7.0,Yes,,,53.0,662.0,0.0,119.0,22.0,47.0,326.0,0.0,148.0,128.6,3,3,3,0.0,17.97,3.32,7.09,49.24,0.0,22.35,5.14,30,NEW YORK,,
FONTBONNE HALL ACADEMY,9901 SHORE ROAD,11209.0,40.61361905,-74.0369542,3,100,FONTBONNE HALL ACADEMY,00926416,FONTBONNE HALL ACADEMY,14,17,9901 SHORE RD,BROOKLYN,36047,47,NY,36,11209,7187482244,180.0,6.75,No,,,,342.0,0.0,11.0,49.0,13.0,256.0,0.0,13.0,31.4,2,2,1,0.0,3.21,14.32,3.8,74.85,0.0,3.8,10.89,1,KINGS,,
FRIENDS SEMINARY FS (FS),222 E   16 ST,10003.0,40.73441897,-73.98577597,0,95,FRIENDS SEMINARY,00935216,FRIENDS SEMINARY,3,17,222 E 16TH ST,NEW YORK,36061,61,NY,36,10003,2129795030,168.0,7.0,Yes,,,59.0,791.0,0.0,77.0,28.0,49.0,514.0,0.0,123.0,112.5,1,3,2,0.0,9.73,3.53,6.19,64.98,0.0,15.54,7.03,15,NEW YORK,,
GAN YISROEL,1581 52 ST,11219.0,40.62972527,-73.98786629,1,100,GAN YISROEL,BB121551,GAN YISROEL,2,13,13 CHURCH AVE,BROOKLYN,36047,47,NY,36,11218,7188539853,200.0,7.0,No,,26.0,25.0,251.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,20.0,1,1,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,11.25,18,KINGS,,
GRACE CHURCH HIGH SCHOOL FS (GCH),46 COOPER SQ,10003.0,40.72869392,-73.9910918,0,95,GRACE CHURCH HIGH SCHOOL,A2102614,GRACE CHURCH HIGH SCHOOL,2,17,46 COOPER SQ,NEW YORK,36061,61,NY,36,10003,2124750435,170.0,7.5,Yes,,33.0,48.0,782.0,0.0,50.0,25.0,54.0,457.0,3.0,160.0,148.8,1,3,3,0.0,6.67,3.33,7.2,61.01,0.4,21.36,5.03,30,NEW YORK,,
