Violation Record Name,Test Score - School name,Proficiency,Violation counts,PSS Name,PSS_CITY,DAYS PER SCHOOL YEAR,DAY HOURS,PSS_LIBRARY,PSS_ENROLL_T,PSS_RELIG,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_STUDENT_TEACHER_RATIO,PSS_ORIENT
BLESSED SACRAMENT LOWER SCHOOL,BLESSED SACRAMENT SCHOOL,18.39%,2,BLESSED SACRAMENT CATHOLIC ACADEMY,BROOKLYN,180,7,,204,1,,,,,,17.72,1
YESHIVA IMREI CHAIM VIZNITZ / BNOS MARGULIA,YESHIVA IMREI CHAIM VIZNITZ,0.15%,2,BNOS MARGULIA VIZNITZ - DBA OF YESHIVA IMREI CHAIM,BROOKLYN,245,6.5,,756,2,0,0,0,0,100,7.97,18
CHRIST THE KING SCHOOL,CHRIST THE KING,55.80%,2,CHRIST THE KING SCHOOL,BRONX,175,7,,272,1,1.19,0.59,85.02,13.17,0,10.43,1
DARCHAI MENACHEM INC,DARCHAI MENACHEM INC,1.45%,2,DARCHAI MENACHEM INC,BROOKLYN,213,10,,153,2,0,0,0,0,100,9.27,18
DIMITRIOS & GEORGIA KALIODIS PAROCHIAL SCHOOL,D & G KALOIDIS PAROCHIAL,71.30%,2,DIMITRIOS & GEORGIA KALOIDIS PAROCHIAL SCHOOL,BROOKLYN,180,6.75,,165,2,0,8.41,14.01,3.73,73.83,5.94,16
DIVINE MERCY CATHOLIC ACADEMY,DIVINE MERCY CATHOLIC,56.80%,2,DIVINE MERCY CATHOLIC ACADEMY,OZONE PARK,180,7,,260,1,0,32.98,50,5.15,10.82,16.16,1
EPIPHANY LUTHERAN SCHOOL,EPIPHANY LUTHERAN ES,72.22%,2,EPIPHANY LUTHERAN ELEMENTARY SCHOOL,BROOKLYN,180,7,,96,2,0,0,0,100,0,7.7,29
FLATBUSH S.D.A. SCHOOL,FLATBUSH SDA SCHOOL,22.13%,2,FLATBUSH SDA SCHOOL,BROOKLYN,182,7.5,,44,2,0,0,0,95,5,6.06,28
GREAT OAKS CHARTER,GREAT OAKS ES,36.90%,2,GREAT OAKS ELEMENTARY SCHOOL,BROOKLYN,180,5,,96,2,0,0,2.08,96.87,0,7.93,8
GREEK AMERICAN INSTITUTE OF NEW YORK,GREEK AMERICAN INST-NY,57.32%,2,GREEK AMERICAN INSTITUTE OF NEW YORK,BRONX,180,6,,177,2,0,3.78,8.33,2.27,85.6,9.1,16
IMMACULATE CONCEPTION SCHOOL,IMMACULATE CONCEPTION SCHOOL,0.00%,2,IMMACULATE CONCEPTION SCHOOL,JAMAICA,180,7,,300,1,,,,,,13.61,1
BAIS YAAKOV,ATERES BAIS YAAKOV-ROCKLAND,17.40%,2,MASORES BAIS YAAKOV,BROOKLYN,165,8.25,,787,2,0,0,0,0,100,13.38,18
