Violation Record Name,Test Score - School name,Proficiency,Violation counts,PSS Name,PSS_CITY,DAYS PER SCHOOL YEAR,DAY HOURS,PSS_LIBRARY,PSS_ENROLL_T,PSS_RELIG,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_STUDENT_TEACHER_RATIO,PSS_ORIENT
"UPK @ HOLY CHILD JESUS, HOLY CHILD JESUS SCHOOL",HOLY CHILD JESUS CATHOLIC,58.61%,2,, , , ,, , , , , , , , , 
YESHIVA BOYAN,YESHIVA BOYAN,0.49%,2,, , , ,, , , , , , , , , 
YESHIVA RABBI CHAIM BERLIN,YESHIVA RABBI CHAIM BERLIN,22.87%,2,, , , ,, , , , , , , , , 
YESHIVA TIFERETH ELIMELECH,YESHIVA TIFERETH ELIMELECH,16.71%,2,, , , ,, , , , , , , , , 
YESHIVA TORAH TEMIMAH,YESHIVA TORAH TEMIMAH,22.94%,2,, , , ,, , , , , , , , , 
YESHIVAT OHEL TORAH,YESHIVAT OHEL TORAH,36.11%,2,, , , ,, , , , , , , , , 
BAIS ESTHER HIGH SCHOOL,BAIS ESTHER SCHOOL,29.65%,1,, , , ,, , , , , , , , , 
BET YAAKOV OTOR SARAH,BET YAAKOV OHR SARAH,21.30%,1,, , , ,, , , , , , , , , 
BOBOVER YESHIVA BNEI ZION,BOBOVER YESHIVA BNEI ZION,4.02%,1,, , , ,, , , , , , , , , 
DAKEI  AVOS  SANZ OF BP,CONG DARKEI AVOS SANZ-BP,0.00%,1,, , , ,, , , , , , , , , 
HOLY CROSS HIGH SCHOOL,HOLY CROSS SCHOOL,52.13%,1,, , , ,, , , , , , , , , 
MESIVTA RABBI CHAIM BERLIN H.S.,YESHIVA RABBI CHAIM BERLIN,22.87%,1,, , , ,, , , , , , , , , 
NOTRE DAME ACADEMY ELEMENTARY SCHOOL OF STATEN ISLAND,NOTRE DAME ACADEMY,42.04%,1,, , , ,, , , , , , , , , 
OUR LADY OF MERCY SCHOOL,OUR LADY OF MERCY,73.86%,1,, , , ,, , , , , , , , , 
SALVE REGINA CATHOLIC ACADEMY,SALVE REGINA CATHOLIC,53.63%,1,, , , ,, , , , , , , , , 
SANTA MARIA SCHOOL-XARJ,SANTA MARIA SCHOOL,56.78%,1,, , , ,, , , , , , , , , 
ST CATHERINE ST THERESE CATHOLIC ACADEMY,ST CATHERINE-ST THERESE,41.38%,1,, , , ,, , , , , , , , , 
YESHIVA MACHZIKEI HADAS,YESHIVA MACHZIKEI HADAS,0.76%,1,, , , ,, , , , , , , , , 
YESHIVA TORAH VODAATH ELEMENTARY SCHOOL,YESHIVA TORAH VODAATH,35.36%,1,, , , ,, , , , , , , , , 
A. FANTIS PAROCHIAL SCHOOL,A FANTIS PAROCHIAL,94.94%,0,, , , ,, , , , , , , , , 
BAIS YAAKOV ACADEMY FOR GIRLS,BAIS YAAKOV ACADEMY,45.47%,0,, , , ,, , , , , , , , , 
BNOS SQUARE OF WILLIAMSBURG,BNOS SQUARE-WILLIAMSBURG,28.58%,0,, , , ,, , , , , , , , , 
BNOS ZION OF BOBOV,BNOS ZION OF BOBOV MONSEY,24.38%,0,, , , ,, , , , , , , , , 
Coney Island Prep Middle School,OAKVIEW PREP SCHOOL,21.47%,0,, , , ,, , , , , , , , , 
CREO COLLEGE PREP MIDDLE SCHOOL,OAKVIEW PREP SCHOOL,21.47%,0,, , , ,, , , , , , , , , 
EPIPHANY SCHOOL ANNEX,EPIPHANY SCHOOL,91.71%,0,, , , ,, , , , , , , , , 
HOLY CROSS SCHOOL,HOLY CROSS SCHOOL,52.13%,0,, , , ,, , , , , , , , , 
MEVAKSHAI HASHEM,MEVAKSHAI HASHEM,0.33%,0,, , , ,, , , , , , , , , 
OUR LADY OF PERPETUAL HELP SCHOOL,OUR LADY OF PERPETUAL HELP,47.30%,0,, , , ,, , , , , , , , , 
"SAINT DEMETRIOS HIGH SCHOOL, SAINT DEMETRIOS GREEK AMERICAN SCHOOL - UPK, ST. DEMETRIOS/GREEK-AMER.",ST DEMETRIOS GREEK AMERICAN,62.41%,0,, , , ,, , , , , , , , , 
ST. PETER'S LUTHERAN PRESCHOOL,ST PETER'S LUTHERAN,41.52%,0,, , , ,, , , , , , , , , 
